|name_job|type_busy|qualification|location|federalDistrictCode|skills|salary_min|salary_max|salary_stat_mean
0|системный аналитик|remote|middle|n o t l o c a t i o n|Not_cod|Java,Scala,JMS,kafka,Python,REST,UX,UML,UI,JSON,BPMN,Protobuf,gRPC|160000.0|160000.0|108900
1|data scientist|remote|middle|n o t l o c a t i o n|Not_cod|Computer Vision,ML|150000.0|230000.0|108900
2|data analyst|full-time|middle|n o t l o c a t i o n|Not_cod|Invite IT,KION,Well,being,DS,Premium,SQL,CLV,Big Data|240000.0|270000.0|108900
3|системный аналитик|full-time|middle|к р а с н о д а р с к и й к р а й|3.0|net,SQL,Oracle,PosgreSQL|150000.0|200000.0|109000
4|data engineer|full-time|middle|м о с к в а|1.0|ETL,Impala,ODBC,API,Docker,pandas,GitLab,Redis,Hadoop,Managed Services,PostgreSQL,NoSQL,Python,SQL,Linux,Sever X,RestAPI,ftp,GreenPlum,Hive,Data Lake,ClickHouse,Apache Airflow|250000.0|250000.0|104400
5|data engineer|full-time|senior|м о с к в а|1.0|ML,AI,io,ETL,Spark,DS,Airflow,Python,SQL,Lucky Hunter,KFC,https,Hadoop,data|400000.0|400000.0|104400
6|dl инженер|internship|junior|м о с к в а|1.0|AI,nvi,DL,CV,Guard,research,TensorRT,me,NVI Solutions,PyTorch,git,ru,Python,OneTBB,https,OpenCV,NVI Research,ML,docker|80000.0|150000.0|104400
7|ml engineer|remote|senior|n o t l o c a t i o n|Not_cod|ECCV,Gradient,Computer Vision,Machine Learning,opencv,TFlite,Pytorch,torchscript,Deep Learning,ICML,github,ICLR,arxiv,Apple,Best of,server,CV Engineer,face beautification,ICCV,numpy,NIPS,ML,CoreML,CVPR,production ready GAN,mobile,SOTA Computer Vision|500000.0|500000.0|108900
8|data engineer|full-time|Not_qualification|с а н к т п е т е р б у р г|2.0|streaming,HDFS,Spark,Apache SuperSet,NiFi,Java,Yandex DataLens,Scala,Yandex Cloud Platform,pipeline,Docker,Git,Hadoop,data,PySpark,Azure,Power BI,Kubernetes,Python,SQL,Data Management,intermediate,Nifi,Airflow,DataLake,Kafka,YCP,YARN etc,AWS|250000.0|350000.0|105200
9|преподаватель онлайн курса reinforcement learning|remote|Not_qualification|n o t l o c a t i o n|Not_cod|zoom c,RL,IT,best practices,Reinforcement Learning,OTUS|350.0|4000.0|108900
